id_abbonamento,durata,costo,tipo,id_sottoscrizione,data_inizio,data_fine,FK_Utente,FK_Abbonamento,id_utente,username,email,lingua,nome,sesso,data_di_nascita,indirizzo,tfa,steamid,FK_Statistiche
7,6,29.94,PUBG,1,2016-00-08,2016-06-08,5349,7,5349,Dejuan_Gorczany,Ryan_Toy79@hotmail.com,ru,Darian Kutch,f,1972-08-07,2450 Stark Squares,0,1:1:91651028,17695
7,6,29.94,PUBG,4,2017-05-24,2017-11-24,14429,7,14429,Axel11,Omari.Bashirian@hotmail.com,pl,Merle Rolfson,m,1992-05-26,68247 Haley Passage,1,1:1:79620221,15445
10,3,17.97,D2,6,2017-10-00,2018-01-00,9059,10,9059,German32,Neoma.Jacobs40@yahoo.com,zh_TW,Carmine Conroy,m,1990-08-23,015 Rowe Spring,0,1:1:44706935,20143
7,6,29.94,PUBG,8,2017-02-12,2017-05-12,14523,7,14523,Ricardo32,Luz.Schroeder80@hotmail.com,ko,Darrion Trantow,f,1979-09-20,85835 Williamson Dale,0,0:0:86390136,19704
10,3,17.97,D2,9,2017-04-28,2017-07-28,4889,10,4889,Vicenta30,Lyric_Frami@yahoo.com,it,Ervin Bins,f,1973-05-24,4734 Buddy Plaza,0,1:1:56148029,10098
2,3,17.97,CSGO,10,2018-08-18,2018-09-18,15800,2,15800,Carley_Feeney14,Elvis.Hessel65@yahoo.com,de,Hubert Satterfield,f,1989-09-27,5984 Audie Gardens,0,1:1:67645633,7233
1,1,5.99,CSGO,11,2017-04-26,2017-07-26,2205,1,2205,Korey4,Webster_Nienow@hotmail.com,sv,Otha Jerde,m,1993-02-22,84100 Carter Lodge,0,0:0:47853932,3546
4,12,39.99,CSGO,12,2018-11-06,2019-02-06,14131,4,14131,Francesco72,Shanelle.Nolan@yahoo.com,sk,Pearl Barton,m,1960-07-07,538 Fritz Center,1,1:1:37783497,21466
13,1,9.99,premium,13,2017-07-29,2018-07-29,4291,13,4291,Lauretta_Goyette89,Aracely75@yahoo.com,en_AU,Ronaldo Koss,f,1970-08-10,225 Hoppe Burgs,0,0:0:30818065,3300
10,3,17.97,D2,14,2017-06-09,2017-09-09,8728,10,8728,Cristina.Hermiston,Candida36@gmail.com,en,Sarah Little,m,1996-07-23,913 Kihn Corners,1,0:0:109454334,9740
13,1,9.99,premium,15,2017-05-06,2018-05-06,14757,13,14757,Alessandra.Shields96,Madisyn93@gmail.com,en_IND,Deonte Mills,m,1961-04-01,873 Davis Forest,1,0:0:86259829,23887
7,6,29.94,PUBG,16,2018-07-08,2019-01-08,5456,7,5456,Alfredo.Ernser,Jammie38@gmail.com,de_CH,Philip Barton,f,1967-08-15,152 Beahan Road,1,0:0:63091128,14821
1,1,5.99,CSGO,17,2018-08-26,2018-09-26,15474,1,15474,Sophie.Senger5,Lura_Wunsch@hotmail.com,de_AT,Rowland Vandervort,f,1987-01-05,8593 Stroman Islands,1,1:1:17136465,17174
13,1,9.99,premium,18,2017-07-11,2018-01-11,14315,13,14315,Pamela.Rolfson,Aryanna10@hotmail.com,pt_BR,Judson Mitchell,m,1988-02-02,8791 Macejkovic Forge,0,1:1:12672508,12244
2,3,17.97,CSGO,19,2018-01-17,2018-02-17,13997,2,13997,Merritt.Herman,Diamond17@gmail.com,de_CH,Ayana Hermann,f,1990-11-22,72755 Koelpin Manor,1,0:0:103035018,17072
4,12,39.99,CSGO,20,2016-03-11,2016-06-11,1982,4,1982,Vergie.Bruen55,Jacynthe.Little@hotmail.com,zh_CN,Rosella Rosenbaum,m,1961-04-12,3161 Rice Passage,0,1:1:17293666,2369
13,1,9.99,premium,23,2016-10-13,2017-10-13,15413,13,15413,Forest.Lueilwitz,Kyleigh_Shields38@yahoo.com,en_BORK,Thaddeus Lueilwitz,m,1982-03-20,35109 Leopold Club,1,1:1:96636862,10483
4,12,39.99,CSGO,24,2018-01-23,2018-02-23,1082,4,1082,Roosevelt.Cole87,Charlie_Weber@gmail.com,ja,Gunnar DuBuque,m,1974-12-06,9954 Torphy Pines,1,0:0:23798192,657
13,1,9.99,premium,25,2016-06-00,2017-06-00,13781,13,13781,Efren_Mills,Guiseppe.Luettgen77@yahoo.com,sk,Geo Christiansen,f,1997-11-18,54469 Walter Walk,1,0:0:49615416,24175
1,1,5.99,CSGO,27,2016-09-25,2017-09-25,6008,1,6008,Perry_Morar44,Diego77@yahoo.com,en_US,Maci Erdman,f,1978-11-18,613 Medhurst Causeway,0,0:0:92635979,14111
2,3,17.97,CSGO,28,2016-05-11,2016-06-11,9315,2,9315,Rafaela.Mosciski,Abelardo37@hotmail.com,es_MX,Antoinette Heaney,f,1986-03-05,05043 Flatley Mills,0,1:1:65194084,20696
13,1,9.99,premium,29,2018-04-23,2018-10-23,10807,13,10807,Meta_McGlynn,Newell_Corwin37@hotmail.com,it,Kameron Volkman,f,1986-11-30,626 Schinner Springs,0,1:1:83651882,13573
1,1,5.99,CSGO,30,2017-06-06,2017-12-06,5070,1,5070,Carroll.Dickens13,Natasha.Gutmann@yahoo.com,es_MX,Jevon Douglas,f,1995-04-17,7842 Hermann Cliff,0,1:1:53405466,8503
3,6,29.94,CSGO,32,2016-08-13,2016-09-13,8061,3,8061,Shakira.Franecki63,Montana4@hotmail.com,ko,Casey Rodriguez,f,1968-09-08,083 Kim Turnpike,0,0:0:96077359,15131
1,1,5.99,CSGO,34,2016-02-21,2016-05-21,8338,1,8338,Wilma.Kling,Chauncey.Pagac@gmail.com,tr,Halle Schroeder,m,1995-09-20,91124 Hyman Village,1,0:0:26066188,22658
13,1,9.99,premium,35,2018-04-23,2019-04-23,9481,13,9481,Lempi14,Nannie.Walsh@yahoo.com,az,Kailey Roberts,m,1987-06-03,76631 Saige Viaduct,0,1:1:66172546,18641
4,12,39.99,CSGO,36,2017-06-25,2017-07-25,7499,4,7499,Titus42,Verlie_Wiegand@yahoo.com,ja,Major Crona,f,1988-03-31,52776 Fahey Heights,0,1:1:28707301,13728
10,3,17.97,D2,37,2018-06-13,2018-09-13,3407,10,3407,Jaren.Schmidt3,Else59@hotmail.com,es,Ashton Bernier,m,1983-12-11,298 Tanya Pines,1,1:1:63753071,3677
1,1,5.99,CSGO,38,2018-00-21,2018-06-21,7766,1,7766,Gregorio_Fay,Andreane.OKeefe@gmail.com,en_AU,Gino Stamm,m,1979-07-14,9360 Nicolas Vista,0,1:1:22137505,12406
1,1,5.99,CSGO,39,2017-04-15,2017-07-15,12209,1,12209,Adriel90,Lulu.Rutherford@gmail.com,fa,Janice Kassulke,m,1982-12-21,886 Beer Estate,1,1:1:70584929,20504
7,6,29.94,PUBG,42,2016-09-19,2016-12-19,14938,7,14938,Albert0,Nestor62@yahoo.com,de_AT,Tito Huels,f,1982-05-03,0044 Magdalen Underpass,0,1:1:52485664,17522
3,6,29.94,CSGO,43,2016-05-10,2016-06-10,7950,3,7950,Jeremy97,Lavina_Emard85@gmail.com,id_ID,Roberta Lehner,m,1989-04-10,6312 Nasir Ranch,0,1:1:57348487,19417
1,1,5.99,CSGO,44,2017-04-14,2017-07-14,4379,1,4379,Rogelio_Emard,Vinnie_Nitzsche@gmail.com,en,Griffin Bahringer,m,1985-04-20,785 Jefferey Trace,1,0:0:16326684,190
1,1,5.99,CSGO,45,2017-08-02,2017-09-02,7049,1,7049,Tristin.Shields,Lola_Farrell@hotmail.com,de_AT,Charlene Mertz,m,1968-03-05,661 Casey Land,1,0:0:82380377,22129
7,6,29.94,PUBG,47,2016-06-09,2016-09-09,2605,7,2605,Emily.Rice0,Alexa_Greenfelder@hotmail.com,sv,Wendy Raynor,f,1985-01-16,55556 Tatum Motorway,1,0:0:61957786,3736
10,3,17.97,D2,48,2016-10-00,2017-01-00,14332,10,14332,Alba_Ward,Dominic.Paucek@gmail.com,de,Idell Johnston,m,1971-03-28,509 Blick Light,1,1:1:87116835,23829
10,3,17.97,D2,49,2017-05-26,2017-08-26,14356,10,14356,Mekhi.Kutch,Delta.Macejkovic55@gmail.com,zh_TW,Khalil Weber,m,1997-12-24,4043 Bogan Fort,1,1:1:106639144,22867
1,1,5.99,CSGO,50,2016-04-08,2016-05-08,4905,1,4905,Felicia18,Trent.Schowalter@hotmail.com,cz,Colt Feeney,f,1981-12-20,5487 Richmond View,1,1:1:61813423,7019
1,1,5.99,CSGO,51,2016-02-15,2016-05-15,6396,1,6396,Lloyd_Zboncak77,Colten_Lockman42@hotmail.com,sk,Frederique Schoen,f,1963-08-14,32486 Yessenia Street,1,1:1:91141466,20079
7,6,29.94,PUBG,52,2017-10-11,2018-01-11,12949,7,12949,Bettye.Schuster20,Avis.Emard@yahoo.com,zh_TW,Amari Torphy,m,1960-11-15,9299 Vince Hollow,1,0:0:54365767,18243
7,6,29.94,PUBG,53,2017-02-22,2017-05-22,15090,7,15090,Kolby97,Newton48@gmail.com,ja,Houston Nienow,f,1987-07-31,8972 Heidenreich Port,1,1:1:56414254,14577
13,1,9.99,premium,54,2018-08-20,2019-08-20,12533,13,12533,Dillan_Aufderhar,Garrick_MacGyver8@hotmail.com,zh_CN,Aileen Gerhold,f,1970-10-20,45820 Prohaska Gateway,1,1:1:61084408,10354
1,1,5.99,CSGO,55,2018-07-25,2018-10-25,10714,1,10714,Easter28,Muhammad_McDermott@yahoo.com,en_AU,Gabriella Beier,m,1964-11-24,14838 Kristy Coves,0,1:1:60489115,7422
13,1,9.99,premium,56,2017-06-04,2017-12-04,11020,13,11020,Keagan_Auer13,Pietro23@gmail.com,tr,Zella Runolfsdottir,f,1981-06-23,99024 Bergnaum Lake,0,1:1:23859990,23221
1,1,5.99,CSGO,57,2018-10-29,2018-11-29,9820,1,9820,Bennie72,Nick56@gmail.com,es,Kaitlyn Fritsch,f,1967-03-02,347 Alphonso Ridges,1,1:1:50979634,10299
7,6,29.94,PUBG,59,2017-01-21,2017-07-21,14473,7,14473,Ethelyn.Beer46,Kelli84@gmail.com,fr,Sylvan Mohr,m,1977-10-09,542 Bruen Lodge,1,1:1:91435876,15745
7,6,29.94,PUBG,61,2018-04-03,2018-07-03,8950,7,8950,Elisabeth43,Thaddeus.Borer6@gmail.com,tr,Clarabelle Zulauf,m,1987-02-03,435 Morar Corner,0,1:1:34273371,21921
4,12,39.99,CSGO,62,2018-07-18,2018-10-18,9912,4,9912,Devyn60,Chelsea.Herman1@hotmail.com,sk,Susana Schamberger,f,1988-08-23,29957 Elisa Trafficway,1,0:0:39631448,10076
7,6,29.94,PUBG,63,2017-08-09,2017-11-09,10085,7,10085,Jeanne_Labadie89,Brionna_Abernathy69@hotmail.com,nl,Ulices O'Reilly,f,1963-09-04,55281 Fernando Plain,1,1:1:73852301,19543
7,6,29.94,PUBG,64,2017-10-26,2018-04-26,5518,7,5518,Verla.Ziemann,Ivory.Barrows@hotmail.com,ja,Wilford Tremblay,m,1984-03-14,674 Willow Orchard,0,1:1:88911048,16770
